EXTRACTIONDATE,REG,Descripción series,YEAR,DATE,GDP(million_pesos),LIKELIHOODOFDEFAULT
2024-03-23,14.0,Producto Interno Bruto,2013,2013-12-31,57950.6923932345,0.068015
2024-03-23,14.0,Producto Interno Bruto,2014,2014-12-31,61747.5130181365,0.074191
2024-03-23,14.0,Producto Interno Bruto,2015,2015-12-31,67395.5945676832,0.081544
2024-03-23,14.0,Producto Interno Bruto,2016,2016-12-31,72096.3180826994,0.099478
2024-03-23,14.0,Producto Interno Bruto,2017,2017-12-31,75041.8922282692,0.099008
2024-03-23,14.0,Producto Interno Bruto,2018,2018-12-31,79326.313684435,0.096684
2024-03-23,14.0,Producto Interno Bruto,2019,2019-12-31,82149.4814702424,0.108227
2024-03-23,14.0,Producto Interno Bruto,2020,2020-12-31,79602.5444579664,0.145762
2024-03-23,14.0,Producto Interno Bruto,2021,2021-12-31,91828.4911521301,0.153499
2024-03-23,14.0,Producto Interno Bruto,2022,2022-12-31,99978.5979235164,0.181699
