EXTRACTIONDATE,REG,Descripción series,YEAR,DATE,INDEX,LIKELIHOODOFDEFAULT
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2014,2014-12-31,99055550.25,0.074191
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2015,2015-12-31,107355602.916667,0.081544
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2016,2016-12-31,114798995.75,0.099478
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2017,2017-12-31,120820262.416667,0.099008
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2018,2018-12-31,123469393.5,0.096684
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2019,2019-12-31,126099277.833333,0.108227
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2020,2020-12-31,95533608.0,0.145762
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2021,2021-12-31,122916134.416667,0.153499
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2022,2022-12-31,132734514.083333,0.181699
2024-03-23,16.0,"Pasada de vehículos por pórticos de autopistas urbanas, unidades",2023,2023-12-31,131163459.583333,0.265869
